

wavelength(nm), Y
1555.04, 0.671716
1555.03, 0.680106
1555.02, 0.688196
1555.01, 0.695985
1555, 0.703468
1555, 0.710641
1554.99, 0.717503
1554.98, 0.724049
1554.97, 0.730278
1554.96, 0.736185
1554.96, 0.74177
1554.95, 0.747028
1554.94, 0.751959
1554.93, 0.756559
1554.92, 0.760826
1554.92, 0.76476
1554.91, 0.768358
1554.9, 0.771618
1554.89, 0.774539
1554.88, 0.77712
1554.88, 0.77936
1554.87, 0.781257
1554.86, 0.782811
1554.85, 0.784022
1554.84, 0.784887
1554.84, 0.785409
1554.83, 0.785585
1554.82, 0.785416
1554.81, 0.784902
1554.8, 0.784044
1554.79, 0.782841
1554.79, 0.781294
1554.78, 0.779404
1554.77, 0.777172
1554.76, 0.774598
1554.75, 0.771684
1554.75, 0.768431
1554.74, 0.764841
1554.73, 0.760914
1554.72, 0.756654
1554.71, 0.752061
1554.71, 0.747138
1554.7, 0.741886
1554.69, 0.736309
1554.68, 0.730408
1554.67, 0.724186
1554.67, 0.717647
1554.66, 0.710792
1554.65, 0.703625
1554.64, 0.696149
1554.63, 0.688367
1554.63, 0.680283
1554.62, 0.671899
1554.61, 0.663221
1554.6, 0.654252
1554.59, 0.644995
1554.59, 0.635455
1554.58, 0.625635
1554.57, 0.615541
1554.56, 0.605177
1554.55, 0.594546
1554.55, 0.583655
1554.54, 0.572507
1554.53, 0.561108
1554.52, 0.549462
1554.51, 0.537575
1554.5, 0.525452
1554.5, 0.513098
1554.49, 0.500518
1554.48, 0.487719
1554.47, 0.474706
1554.46, 0.461484
1554.46, 0.448059
1554.45, 0.434437
1554.44, 0.420625
1554.43, 0.406628
1554.42, 0.392452
1554.42, 0.378104
1554.41, 0.36359
1554.4, 0.348916
1554.39, 0.334089
1554.38, 0.319115
1554.38, 0.304001
1554.37, 0.288754
1554.36, 0.273379
1554.35, 0.257885
1554.34, 0.242277
1554.34, 0.226563
1554.33, 0.210749
1554.32, 0.194843
1554.31, 0.178851
1554.3, 0.162781
1554.3, 0.146639
1554.29, 0.130433
1554.28, 0.114169
1554.27, 0.0978555
1554.26, 0.0814988
1554.25, 0.0651063
1554.25, 0.0486852
1554.24, 0.0322427
1554.23, 0.015786
1554.22, -0.000677548
1554.21, -0.0171408
1554.21, -0.0335966
1554.2, -0.0500376
1554.19, -0.0664566
1554.18, -0.0828464
1554.17, -0.0991999
1554.17, -0.11551
1554.16, -0.131769
1554.15, -0.14797
1554.14, -0.164106
1554.13, -0.180171
1554.13, -0.196156
1554.12, -0.212054
1554.11, -0.22786
1554.1, -0.243566
1554.09, -0.259165
1554.09, -0.274649
1554.08, -0.290014
1554.07, -0.30525
1554.06, -0.320353
1554.05, -0.335315
1554.05, -0.35013
1554.04, -0.364791
1554.03, -0.379291
1554.02, -0.393626
1554.01, -0.407787
1554.01, -0.421769
1554, -0.435566
1553.99, -0.449171
1553.98, -0.462579
1553.97, -0.475785
1553.96, -0.488781
1553.96, -0.501562
1553.95, -0.514123
1553.94, -0.526458
1553.93, -0.538562
1553.92, -0.55043
1553.92, -0.562055
1553.91, -0.573434
1553.9, -0.584561
1553.89, -0.595431
1553.88, -0.60604
1553.88, -0.616382
1553.87, -0.626454
1553.86, -0.63625
1553.85, -0.645767
1553.84, -0.655001
1553.84, -0.663947
1553.83, -0.672601
1553.82, -0.680959
1553.81, -0.689019
1553.8, -0.696776
1553.8, -0.704226
1553.79, -0.711368
1553.78, -0.718197
1553.77, -0.724711
1553.76, -0.730906
1553.76, -0.73678
1553.75, -0.742331
1553.74, -0.747555
1553.73, -0.752451
1553.72, -0.757017
1553.72, -0.76125
1553.71, -0.765149
1553.7, -0.768712
1553.69, -0.771937
1553.68, -0.774823
1553.67, -0.777368
1553.67, -0.779572
1553.66, -0.781434
1553.65, -0.782953
1553.64, -0.784127
1553.63, -0.784958
1553.63, -0.785443
1553.62, -0.785583
1553.61, -0.785379
1553.6, -0.784829
1553.59, -0.783935
1553.59, -0.782696
1553.58, -0.781114
1553.57, -0.779188
1553.56, -0.77692
1553.55, -0.774311
1553.55, -0.771362
1553.54, -0.768074
1553.53, -0.764449
1553.52, -0.760488
1553.51, -0.756193
1553.51, -0.751565
1553.5, -0.746608
1553.49, -0.741322
1553.48, -0.735711
1553.47, -0.729777
1553.47, -0.723523
1553.46, -0.71695
1553.45, -0.710063
1553.44, -0.702863
1553.43, -0.695355
1553.43, -0.687542
1553.42, -0.679426
1553.41, -0.671013
1553.4, -0.662304
1553.39, -0.653304
1553.39, -0.644018
1553.38, -0.634449
1553.37, -0.624601
1553.36, -0.614478
1553.35, -0.604086
1553.34, -0.593428
1553.34, -0.58251
1553.33, -0.571336
1553.32, -0.559911
1553.31, -0.54824
1553.3, -0.536328
1553.3, -0.52418
1553.29, -0.511803
1553.28, -0.4992
1553.27, -0.486378
1553.26, -0.473343
1553.26, -0.4601
1553.25, -0.446654
1553.24, -0.433013
1553.23, -0.419181
1553.22, -0.405165
1553.22, -0.390971
1553.21, -0.376606
1553.2, -0.362075
1553.19, -0.347385
1553.18, -0.332542
1553.18, -0.317553
1553.17, -0.302425
1553.16, -0.287164
1553.15, -0.271777
1553.14, -0.25627
1553.14, -0.240651
1553.13, -0.224927
1553.12, -0.209103
1553.11, -0.193187
1553.1, -0.177187
1553.1, -0.161109
1553.09, -0.14496
1553.08, -0.128748
1553.07, -0.112479
1553.06, -0.09616
1553.06, -0.0797992
1553.05, -0.0634034
1553.04, -0.0469798
1553.03, -0.0305355
1553.02, -0.0140778
1553.01, 0.0023861
1553.01, 0.0188489
1553, 0.0353035
1552.99, 0.0517425
1552.98, 0.0681589
1552.97, 0.0845453
1552.97, 0.100895
1552.96, 0.117199
1552.95, 0.133453
1552.94, 0.149648
1552.93, 0.165777
1552.93, 0.181833
1552.92, 0.19781
1552.91, 0.213699
1552.9, 0.229495
1552.89, 0.24519
1552.89, 0.260777
1552.88, 0.276249
1552.87, 0.291601
1552.86, 0.306824
1552.85, 0.321912
1552.85, 0.336859
1552.84, 0.351658
1552.83, 0.366303
1552.82, 0.380787
1552.81, 0.395103
1552.81, 0.409246
1552.8, 0.423209
1552.79, 0.436987
