

wavelength(nm), Y
1555.04, -0.407359
1555.03, -0.393192
1555.02, -0.378853
1555.01, -0.364347
1555, -0.349681
1555, -0.334862
1554.99, -0.319896
1554.98, -0.304789
1554.97, -0.289548
1554.96, -0.27418
1554.96, -0.258692
1554.95, -0.24309
1554.94, -0.227381
1554.93, -0.211572
1554.92, -0.195671
1554.92, -0.179683
1554.91, -0.163617
1554.9, -0.147478
1554.89, -0.131275
1554.88, -0.115014
1554.88, -0.098703
1554.87, -0.0823484
1554.86, -0.0659576
1554.85, -0.0495378
1554.84, -0.0330962
1554.84, -0.0166401
1554.83, -0.000176728
1554.82, 0.0162867
1554.81, 0.0327431
1554.8, 0.049185
1554.79, 0.0656053
1554.79, 0.0819969
1554.78, 0.0983524
1554.77, 0.114665
1554.76, 0.130927
1554.75, 0.147131
1554.75, 0.163271
1554.74, 0.179339
1554.73, 0.195328
1554.72, 0.211232
1554.71, 0.227043
1554.71, 0.242754
1554.7, 0.258358
1554.69, 0.273849
1554.68, 0.289219
1554.67, 0.304463
1554.67, 0.319573
1554.66, 0.334542
1554.65, 0.349365
1554.64, 0.364034
1554.63, 0.378543
1554.63, 0.392886
1554.62, 0.407056
1554.61, 0.421048
1554.6, 0.434855
1554.59, 0.44847
1554.59, 0.461889
1554.58, 0.475104
1554.57, 0.488111
1554.56, 0.500904
1554.55, 0.513477
1554.55, 0.525824
1554.54, 0.53794
1554.53, 0.54982
1554.52, 0.561458
1554.51, 0.57285
1554.5, 0.58399
1554.5, 0.594874
1554.49, 0.605496
1554.48, 0.615852
1554.47, 0.625938
1554.46, 0.635749
1554.46, 0.645281
1554.45, 0.654529
1554.44, 0.66349
1554.43, 0.672159
1554.42, 0.680533
1554.42, 0.688608
1554.41, 0.696381
1554.4, 0.703847
1554.39, 0.711005
1554.38, 0.71785
1554.38, 0.72438
1554.37, 0.730592
1554.36, 0.736483
1554.35, 0.742051
1554.34, 0.747292
1554.34, 0.752205
1554.33, 0.756788
1554.32, 0.761039
1554.31, 0.764955
1554.3, 0.768535
1554.3, 0.771778
1554.29, 0.774681
1554.28, 0.777245
1554.27, 0.779467
1554.26, 0.781346
1554.25, 0.782882
1554.25, 0.784075
1554.24, 0.784923
1554.23, 0.785426
1554.22, 0.785585
1554.21, 0.785398
1554.21, 0.784866
1554.2, 0.78399
1554.19, 0.782769
1554.18, 0.781204
1554.17, 0.779297
1554.17, 0.777046
1554.16, 0.774455
1554.15, 0.771524
1554.14, 0.768253
1554.13, 0.764645
1554.13, 0.760701
1554.12, 0.756424
1554.11, 0.751813
1554.1, 0.746873
1554.09, 0.741605
1554.09, 0.736011
1554.08, 0.730093
1554.07, 0.723855
1554.06, 0.717299
1554.05, 0.710428
1554.05, 0.703245
1554.04, 0.695752
1554.03, 0.687955
1554.02, 0.679855
1554.01, 0.671456
1554.01, 0.662763
1554, 0.653778
1553.99, 0.644507
1553.98, 0.634952
1553.97, 0.625118
1553.96, 0.61501
1553.96, 0.604632
1553.95, 0.593988
1553.94, 0.583083
1553.93, 0.571922
1553.92, 0.56051
1553.92, 0.548851
1553.91, 0.536952
1553.9, 0.524816
1553.89, 0.51245
1553.88, 0.499859
1553.88, 0.487049
1553.87, 0.474025
1553.86, 0.460792
1553.85, 0.447357
1553.84, 0.433725
1553.84, 0.419903
1553.83, 0.405897
1553.82, 0.391712
1553.81, 0.377355
1553.8, 0.362833
1553.8, 0.348151
1553.79, 0.333316
1553.78, 0.318334
1553.77, 0.303213
1553.76, 0.287959
1553.76, 0.272578
1553.75, 0.257078
1553.74, 0.241464
